uei,start,end,state,location,deaths
UEI-IMD-FL-2017-0081,2017-07-16,2017-07-16,Maharashtra,,1.0
UEI-IMD-FL-2017-0027,2017-07-17,2017-07-18,Himachal Pradesh,,2.0
UEI-IMD-FL-2017-0035,2017-07-17,2017-07-17,Jammu & Kashmir,,2.0
UEI-IMD-FL-2017-0082,2017-07-17,2017-07-17,Maharashtra,,1.0
UEI-IMD-FL-2017-0036,2017-07-18,2017-07-18,Jammu & Kashmir,,
UEI-IMD-FL-2017-0083,2017-07-18,2017-07-18,Maharashtra,,1.0
UEI-IMD-FL-2017-0048,2017-07-19,2017-07-19,Karnataka,,1.0
UEI-IMD-FL-2017-0084,2017-07-19,2017-07-19,Maharashtra,,1.0
UEI-IMD-FL-2017-0037,2017-07-20,2017-07-20,Jammu & Kashmir,,8.0
UEI-IMD-FL-2017-0049,2017-07-21,2017-07-21,Karnataka,,1.0
UEI-IMD-FL-2017-0122,2017-07-21,2017-07-31,West Bengal,,46.0
UEI-IMD-FL-2017-0099,2017-07-24,2017-07-28,Rajasthan,,17.0
UEI-IMD-FL-2017-0020,2017-07-29,2017-07-29,Chhattisgarh,,24.0
UEI-IMD-FL-2017-0100,2017-07-30,2017-07-30,Rajasthan,,3.0
UEI-IMD-FL-2017-0038,2017-08-02,2017-08-02,Jammu & Kashmir,,
UEI-IMD-FL-2017-0095,2017-08-02,2017-08-02,Odisha,,1.0
UEI-IMD-FL-2017-0068,2017-08-04,2017-08-04,Kerala,,1.0
UEI-IMD-FL-2017-0028,2017-08-05,2017-08-05,Himachal Pradesh,,1.0
UEI-IMD-FL-2017-0069,2017-08-06,2017-08-06,Kerala,,2.0
UEI-IMD-FL-2017-0030,2017-08-08,2017-08-09,Himachal Pradesh,,
UEI-IMD-FL-2017-0101,2017-08-08,2017-08-08,Rajasthan,,8.0
UEI-IMD-FL-2017-0123,2017-08-08,2017-08-14,West Bengal,,32.0
UEI-IMD-FL-2017-0085,2017-08-09,2017-08-10,Maharashtra,,
UEI-IMD-FL-2017-0011,2017-08-10,2017-08-21,Assam,,72.0
UEI-IMD-FL-2017-0050,2017-08-10,2017-08-11,Karnataka,,2.0
UEI-IMD-FL-2017-0017,2017-08-13,2017-08-15,Bihar,,74.0
UEI-IMD-FL-2017-0031,2017-08-13,2017-08-14,Himachal Pradesh,,46.0
UEI-IMD-FL-2017-0121,2017-08-13,2017-08-13,Uttarakhand,,1.0
UEI-IMD-FL-2017-0051,2017-08-14,2017-08-15,Karnataka,,2.0
UEI-IMD-FL-2017-0118,2017-08-14,2017-08-14,Uttar Pradesh,,16.0
UEI-IMD-FL-2017-0052,2017-08-17,2017-08-17,Karnataka,,
UEI-IMD-FL-2017-0032,2017-08-18,2017-08-20,Himachal Pradesh,,1.0
UEI-IMD-FL-2017-0086,2017-08-20,2017-08-20,Maharashtra,,5.0
UEI-IMD-FL-2017-0087,2017-08-21,2017-08-21,Maharashtra,,3.0
UEI-IMD-FL-2017-0018,2017-08-25,2017-08-25,Bihar,,12.0
UEI-IMD-FL-2017-0053,2017-08-26,2017-08-27,Karnataka,,2.0
UEI-IMD-FL-2017-0092,2017-08-26,2017-08-26,Mizoram,,
UEI-IMD-FL-2017-0054,2017-08-28,2017-08-28,Karnataka,,3.0
UEI-IMD-FL-2017-0070,2017-08-28,2017-08-28,Kerala,,
UEI-IMD-FL-2017-0055,2017-08-29,2017-08-30,Karnataka,,
UEI-IMD-FL-2017-0088,2017-08-29,2017-08-29,Maharashtra,,2.0
UEI-IMD-FL-2017-0089,2017-08-30,2017-08-30,Maharashtra,,15.0
UEI-IMD-FL-2017-0105,2017-09-01,2017-09-01,Tamil Nadu,,
UEI-IMD-FL-2017-0119,2017-09-04,2017-09-10,Uttar Pradesh,,110.0
UEI-IMD-FL-2017-0056,2017-09-05,2017-09-06,Karnataka,,5.0
UEI-IMD-FL-2017-0071,2017-09-05,2017-09-07,Kerala,,
